"designation","description","is_obsolete","ut_user_role_type_id","order","is_all_unit","is_all_units_in_country","is_all_units_in_area","is_all_units_in_level_1","is_all_units_in_level_2","is_occupant","is_public","is_default_assignee","is_default_invited","is_dashboard_access","can_see_role_contractor","can_see_role_mgt_cny","can_see_occupant","can_see_role_landlord","can_see_role_agent","can_see_role_tenant","is_assigned_to_case","is_invited_to_case","is_solution_updated","is_next_step_updated","is_deadline_updated","is_case_resolved","is_case_critical","is_case_blocker","is_message_from_contractor","is_message_from_mgt_cny","is_message_from_agent","is_message_from_occupant","is_message_from_ll","is_message_from_tenant","is_any_new_message","is_new_ir","is_new_inventory","is_new_item","is_item_moved","is_item_removed","created_by_id","syst_created_datetime","creation_system_id","creation_method","updated_by_id","syst_updated_datetime","update_system_id","update_method","organization_id"
"Contractor Lead","An empowered user from an external company which provides services in some units","0","3","60","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"Vendor","A user from an external company which provides services in some units","0","3","70","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"Project Manager","Design and unit setup","0","4","","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Publicly Visible Mgt Company","The generic account external user see whne they need to invite Hmlet to a case","0","4","0","1","0","0","0","0","0","1","1","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Facilities Lead","Cluster leads for Operations","0","4","10","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0"
"Community Lead","Cluster leads for Community","0","4","20","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0"
"HouseKeeper","Housekeeping staff","0","4","30","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Housekeeping Manager","Manage our in house housekeepers as well as manage our outsourced cleaning. They need dashboard access so that they can have a good view of our outsourced cleaning vendors work.","0","4","40","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","1","1","0","1","0","1","0","1","0","0","0","0","0","0"
"Technician","Support person on the field.","0","4","50","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Finance","Check what has been done and what needs to be paid.","0","4","60","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sales person","Replies to request from members.","0","4","70","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Global Management","User needs access to all Hmlet properties globally.","0","4","80","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Country Management","User needs access to all units within the country they manage.","0","4","90","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quality Control Lead","This role will be used by operations quality control lead. Their role is to ensure that the building opens without any issues. As such they will be coordinating with contractors and landlords frequently.","0","4","100","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Member","A Hmlet co-living member living in the flat.","0","1","10","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","1","1","1","0","1","1","1","0","1","0","1","0","1","0","0","0","0","0","0"
